,RegionID,SizeRank,Region Name,Region Type,State Name,Date Recorded,Median Sale Price,city,state_name,lat,lng
98160,394913,1,"New York, NY",msa,New York,2023-01-31,516333.0,New York,New York,40.6943,-73.9249
98161,753899,2,"Los Angeles, CA",msa,California,2023-01-31,809333.0,Los Angeles,California,34.1141,-118.4068
98162,394463,3,"Chicago, IL",msa,Illinois,2023-01-31,263217.0,Chicago,Illinois,41.8375,-87.6866
98163,394514,4,"Dallas, TX",msa,Texas,2023-01-31,357667.0,Dallas,Texas,32.7935,-96.7667
98164,394692,5,"Houston, TX",msa,Texas,2023-01-31,300867.0,Houston,Texas,29.786,-95.3885
98165,395209,6,"Washington, DC",msa,Virginia,2023-01-31,447700.0,Washington,Virginia,38.7122,-78.1598
98166,394974,7,"Philadelphia, PA",msa,Pennsylvania,2023-01-31,285967.0,Philadelphia,Pennsylvania,40.0077,-75.1339
98167,394856,8,"Miami, FL",msa,Florida,2023-01-31,396667.0,Miami,Florida,25.784,-80.2101
98168,394347,9,"Atlanta, GA",msa,Georgia,2023-01-31,327667.0,Atlanta,Georgia,33.7628,-84.422
98169,394404,10,"Boston, MA",msa,Massachusetts,2023-01-31,564333.0,Boston,Massachusetts,42.3188,-71.0852
98170,394976,11,"Phoenix, AZ",msa,Arizona,2023-01-31,416667.0,Phoenix,Arizona,33.5722,-112.0892
98171,395057,12,"San Francisco, CA",msa,California,2023-01-31,975583.0,San Francisco,California,37.7558,-122.4449
98172,395025,13,"Riverside, CA",msa,California,2023-01-31,495000.0,Riverside,California,33.9381,-117.3949
98173,394532,14,"Detroit, MI",msa,Michigan,2023-01-31,202833.0,Detroit,Michigan,42.3834,-83.1024
98174,395078,15,"Seattle, WA",msa,Washington,2023-01-31,608333.0,Seattle,Washington,47.6211,-122.3244
98175,394865,16,"Minneapolis, MN",msa,Minnesota,2023-01-31,322867.0,Minneapolis,Minnesota,44.9635,-93.2678
98176,395056,17,"San Diego, CA",msa,California,2023-01-31,762333.0,San Diego,California,32.8313,-117.1222
98177,395148,18,"Tampa, FL",msa,Florida,2023-01-31,336667.0,Tampa,Florida,27.9945,-82.4447
98178,394530,19,"Denver, CO",msa,Colorado,2023-01-31,535000.0,Denver,Colorado,39.762,-104.8758
98179,394358,20,"Baltimore, MD",msa,Maryland,2023-01-31,303000.0,Baltimore,Maryland,39.3051,-76.6144
98180,395121,21,"St. Louis, MO",msa,Missouri,2023-01-31,203500.0,St. Louis,Missouri,38.6359,-90.2451
98181,394943,22,"Orlando, FL",msa,Florida,2023-01-31,353833.0,Orlando,Florida,28.4773,-81.337
98182,394458,23,"Charlotte, NC",msa,North Carolina,2023-01-31,335000.0,Charlotte,North Carolina,35.2083,-80.8303
98183,395055,24,"San Antonio, TX",msa,Texas,2023-01-31,301030.0,San Antonio,Texas,29.4632,-98.5238
98184,394998,25,"Portland, OR",msa,Oregon,2023-01-31,492583.0,Portland,Oregon,45.5371,-122.65
98185,395045,26,"Sacramento, CA",msa,California,2023-01-31,509667.0,Sacramento,California,38.5677,-121.4685
98186,394982,27,"Pittsburgh, PA",msa,Pennsylvania,2023-01-31,174333.0,Pittsburgh,Pennsylvania,40.4397,-79.9763
98187,394466,28,"Cincinnati, OH",msa,Ohio,2023-01-31,201667.0,Cincinnati,Ohio,39.1413,-84.506
98188,394355,29,"Austin, TX",msa,Texas,2023-01-31,457333.0,Austin,Texas,30.3005,-97.7522
98189,394775,30,"Las Vegas, NV",msa,Nevada,2023-01-31,378133.0,Las Vegas,Nevada,36.2333,-115.2654
98190,394735,31,"Kansas City, MO",msa,Missouri,2023-01-31,262967.0,Kansas City,Missouri,39.1238,-94.5541
98191,394492,32,"Columbus, OH",msa,Ohio,2023-01-31,245083.0,Columbus,Ohio,39.9862,-82.9855
98192,394705,34,"Indianapolis, IN",msa,Indiana,2023-01-31,234658.0,Indianapolis,Indiana,39.7771,-86.1458
98193,394475,35,"Cleveland, OH",msa,Ohio,2023-01-31,165250.0,Cleveland,Ohio,41.4764,-81.6805
